,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"23
Jaylen Brown
 SG / SF | 6'6"" | Physical 2-Way Middy Slasher",98,84,86,79,72,88,84,95,95,82
2,"20
Tyrese Maxey
 PG / SG | 6'2"" | Ankle Taker",98,87,89,90,44,90,80,98,98,77
3,"24
Joel Embiid
  C | 7'0"" | Physical 2-Way 3-Level Cleaner",80,82,57,60,96,59,60,65,70,56
4,"10
VJ Edgecombe
 SG / PG | 6'4"" | Mid-Range High Flyer",75,80,86,89,57,91,88,85,85,80
5,"11
Anfernee Simons
 SG / PG | 6'3"" | Inside-Out Creator",70,79,86,86,41,89,90,90,92,80
6,"7
Dean Wade
 PF / SF | 6'9"" | 2-Way Masher",70,55,60,62,60,84,83,85,80,79
7,"5
Trendon Watford
 PF / PG | 6'8"" | Versatile Paint Finisher",75,75,50,63,79,63,80,80,85,80
8,"3
Justin Edwards
 SF / PF | 6'7"" | Ball-Hawking 3PT Shot Hunter",70,65,70,82,59,82,81,80,85,80
9,"2
Dominick Barlow
 PF / C | 6'9"" | Crafty Putback Pro",95,52,69,68,62,68,75,85,80,80
10,"6
Caleb Love
 PG / SG | 6'3"" | Iso Sniper",70,78,79,83,51,75,74,70,82,80
,,,,,,,,,,,
11,"4
Adem Bona
  C | 6'10"" | Shot Eraser",70,40,52,82,73,68,89,90,84,80
12,"0
Rayan Rupert
 SF / SG | 6'6"" | Crafty 3PT-Sniping Creator",70,68,72,67,52,72,69,85,88,80
13,"2
Ariel Hukporti
  C / PF | 7'0"" | Putback Rim-Rocking Eraser",75,44,45,47,68,37,68,95,80,82
14,"4
Tyrese Martin
 SG / PG | 6'6"" | 3PT-Creating Combo Guard",80,75,77,70,59,72,70,65,85,80
15,"0
Dalen Terry
 SG / SF | 6'6"" | Ball-Hawking PlaySlash",65,78,80,76,58,76,69,85,85,80
16,"4
Jabari Walker
 PF / SF | 6'7"" | Skilled Stretch Crasher",60,54,60,75,46,75,79,70,80,80
17,"0
Johni Broome
 PF / C | 6'10"" | Shot-Erasing Middy Crasher",50,69,67,60,71,62,51,90,80,80
18,"0
MarJon Beauchamp
 SF / SG | 6'7"" | Crafty 3-Level Scorer",55,67,70,76,52,76,82,70,89,80
