,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"19
Deni Avdija
 SF / SG | 6'8"" | Crafty Mid-Paint Maestro",90,79,78,75,65,81,79,95,89,84
2,"18
Damian Lillard
 PG | 6'2"" | Versatile Paint Bully",70,84,89,87,63,87,89,95,97,98
3,"18
Ja Morant
 PG / SG | 6'2"" | Blow-By Dual Finisher",70,85,93,95,52,95,97,75,97,80
4,"13
Shaedon Sharpe
 SG / PG | 6'5"" | Blow-By Dual Finisher",80,67,83,89,50,89,96,85,94,80
5,"9
Donovan Clingan
 C | 7'2"" | Glass Guardian Lob Threat",85,62,46,44,78,45,60,75,82,80
6,"17
Jrue Holiday
 PG / SG | 6'4"" | Ball-Hawking 3 & D Point",70,80,79,79,49,90,68,92,80,80
7,"12
Scoot Henderson
 PG / SG | 6'3"" | Mid-Range High Flyer",80,77,86,90,53,89,90,80,95,80
8,"14
Toumani Camara
 PF / SF | 6'7"" | 2-Way Stretch Four",65,67,65,63,78,89,78,95,88,80
9,"11
Robert Williams III
 C / PF | 6'9"" | Paint-Finishing Board Enforcer",50,62,48,71,83,64,75,90,80,81
10,"10
Matisse Thybulle
  SG / SF | 6'5"" | Ball-Hawking 3 & D Two Guard",50,35,65,76,59,85,70,90,85,80
,,,,,,,,,,,
11,"4
Vit Krejci
 SF / PG | 6'8"" | 3PT-Sniping Creator",80,70,70,75,40,75,76,75,80,80
12,"0
Sidy Cissoko
 SF / SG | 6'6"" | Crafty Inside-Out Scorer",75,60,68,74,58,75,80,80,89,80
13,"0
Blake Wesley
 PG / SG | 6'4"" | Ball-Hawking High Flyer",70,79,83,78,40,78,84,75,92,80
14,"1
Branden Carlson
 C | 7'0"" | Shot-Erasing Stretch Five",85,47,37,35,60,30,57,70,85,80
15,"0
Yang Hansen
 C | 7'1"" | Rim-Wrecking Distributor",70,69,32,47,65,37,55,75,85,80
16,"0
Chris Youngblood
 SG / SF | 6'4"" | Sharpshooting Cleaner",70,58,68,72,52,73,70,80,80,87
17,"0
Jayson Kent
 SF / SG | 6'8"" | High-Flying 3PT Sniper",55,59,66,79,55,69,80,70,80,81
