,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"14
Tyler Herro
 SG / PG | 6'5"" | Crafty Offensive Engine",80,84,83,79,59,78,72,70,85,80
2,"10
Kevin Porter Jr.
 PG / SG | 6'4"" | Ball-Hawking Mid-Paint Scorer",75,82,82,85,52,75,75,80,88,80
3,"14
Ryan Rollins
 PG / SG | 6'3"" | Crafty 3PT-Sniping Creator",85,79,79,86,39,86,80,85,85,80
4,"8
Kel’el Ware
 C / PF | 7'0"" | Board-Hunting Stretch Dunker",70,52,52,66,66,68,90,90,89,80
5,"14
Kyle Kuzma
 SF / PF | 6'9"" | Drive & Rise Bully",70,78,77,74,74,74,75,95,85,83
6,"8
Jaime Jaquez Jr.
 PF / SF | 6'6"" | Versatile Paint Finisher",85,74,73,67,68,75,82,90,88,80
7,"16
Myles Turner
 C | 6'11"" | 2-Way Stretch Five",60,68,35,56,80,66,69,80,95,83
8,"0
Ousmane Dieng
 SF / PF | 6'9"" | Iso Sniper",75,70,70,78,62,78,79,80,88,80
9,"2
Taurean Prince
 SF / SG | 6'6"" | 3PT-Sniping Lob Threat",70,55,70,80,60,78,84,85,84,81
10,"5
AJ Green
 SG / SF | 6'4"" | Crafty Sharpshooter",75,69,73,69,42,69,75,70,80,80
,,,,,,,,,,,
11,"4
Kasparas Jakucionis
 PG / SG | 6'6"" | 3PT Shot Hunter",75,82,86,82,60,82,75,85,95,80
12,"8
Gary Trent Jr.
 SG / SF | 6'5"" | Sharpshooter",60,71,79,85,58,76,90,70,80,82
13,"7
Jericho Sims
 C | 6'10"" | Rim-Running Rim Rocker",60,32,35,80,65,80,83,90,85,80
14,"4
Gary Harris
 SG / SF | 6'4"" | 3 & D Dime Dropper",60,75,76,75,53,80,78,80,85,83
15,"5
Andre Jackson Jr.
 SF / SG | 6'6"" | High-Flying Wing Runner",60,60,65,84,50,82,87,80,90,80
16,"1
Cormac Ryan
 SG / SF | 6'5"" | Diming Sharpshooter",70,69,68,68,57,67,75,66,85,80
17,"2
Thanasis Antetokounmpo
  PF / C | 6'7"" | Crafty Blow-By Dual Finisher",65,75,69,77,42,75,82,90,80,87
18,"0
Alex Antetokounmpo
  SF / PF | 6'8"" | Slashing Point Forward",60,66,69,64,57,67,75,80,85,85
