,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"10
Norman Powell
 SG / SF | 6'4"" | Crafty 3PT Sniper",80,75,79,79,46,80,80,90,92,82
2,"13
Josh Giddey
 PG / SG | 6'8"" | Crafty Playmaking Cleaner",85,92,86,79,60,79,74,90,88,80
3,"9
Matas Buzelis
  PF / SF | 6'8"" | Shot-Erasing 3-Level Creator",95,69,72,86,60,70,84,85,90,80
4,"9
Nic Claxton
  C | 6'11"" | Lockdown Defender",70,48,49,69,71,77,79,89,90,80
5,"7
Tre Jones
 PG | 6'1"" | Crafty Mid-Range Menace",80,83,84,80,60,80,71,75,85,81
6,"5
Jalen Smith
 C / PF | 6'8"" | Stretch Lob Threat Cleaner",85,40,38,69,65,68,86,70,82,80
7,"6
Zach Collins
 C | 6'9"" | Post-Scoring Stretch",70,30,40,66,60,65,79,75,75,80
8,"5
Isaac Okoro
 SF / SG | 6'4"" | 2-Way 3PT Sniper",75,67,71,77,67,85,80,90,89,82
9,"3
Leonard Miller
 PF / SF | 6'10"" | Versatile Paint Finisher",70,52,70,73,55,73,82,85,90,80
10,"9
Guerschon Yabusele
 C / PF | 6'7"" | Crafty 3-Level Scorer",75,66,66,62,74,60,70,90,80,84
,,,,,,,,,,,
11,"8
Nick Richards
 C | 6'11"" | Rim-Reaping Mid-Range Scorer",60,36,35,72,65,70,75,85,81,84
12,"4
Patrick Williams
 PF / SF | 6'6"" | 2-Way Stretch Four",60,62,70,70,64,74,77,75,88,81
13,"3
Rob Dillingham
 PG / SG | 6'2"" | Speedy Blow-By Ace",65,68,90,91,39,86,85,85,90,80
14,"1
Yuki Kawamura
 PG | 5'8"" | Table Setter",70,82,86,85,60,84,80,45,75,80
15,"1
Noa Essengue
 PF / SF | 6'8"" | Rim-Running Rim Rocker",60,60,69,85,55,82,82,80,80,80
16,"3
Mac McClung
 SG / PG | 6'2"" | Slashing Combo Guard",70,68,69,79,48,70,82,80,84,82
17,"0
Lachlan Olbrich
 C / PF | 6'8"" | Glass Visionary",50,69,60,50,68,48,49,90,85,80
