,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"19
Donovan Mitchell
 SG / PG | 6'2"" | Mid-Range Slasher",85,83,90,95,60,90,97,85,96,80
2,"23
Evan Mobley
 PF / C | 6'11"" | Backline Post Scorer",70,74,60,72,74,79,81,90,90,80
3,"13
Jarrett Allen
 C | 6'9"" | 2-Way Crafty Paint Prodigy",90,48,35,75,84,72,79,90,90,82
4,"5
Max Strus
 SF / SG | 6'5"" | Sharpshooting Cleaner",70,70,69,76,40,76,74,70,95,85
5,"5
Sam Merrill
 SG / SF | 6'4"" | Dime-Dropping 3PT Gunner",95,79,76,62,52,68,60,60,80,79
6,"10
Dennis Schroder
 PG / SG | 6'1"" | Speedy Blow-By Ace",70,82,86,84,46,88,74,90,93,80
7,"8
Jaylon Tyson
 SF / PF | 6'6"" | 3PT-Sniping Creator",65,69,75,80,63,76,75,90,85,80
8,"8
Thomas Bryant
 C | 6'9"" | Crafty Stretch Five",55,42,53,62,80,57,52,95,88,82
9,"2
Craig Porter Jr.
 PG | 6'1"" | Chaos Trigger",80,75,73,79,48,79,72,90,88,80
10,"6
Nae’Qwan Tomlin
 PF / C | 6'8"" | Putback Dual-Finishing Eraser",60,70,72,75,62,70,80,80,80,80
,,,,,,,,,,,
11,"4
Larry Nance Jr.
 C / PF | 6'6"" | Ball-Hawking Rim Rocker",65,70,64,65,69,61,86,85,80,83
12,"2
Tyrese Proctor
 SG / PG | 6'4"" | Point-Fading Wizard",60,77,80,82,51,81,77,85,85,80
13,"0
Olivier Sarr
 C | 6'10"" | Shot-Erasing Mid-Paint Scorer",55,55,52,65,63,63,74,80,85,80
14,"0
Tristan Enaruna
 SF / SG | 6'6"" | Blow-By High Flyer",40,67,70,84,67,80,80,65,85,82
15,"0
Riley Minix
 PF / SF | 6'7"" | Ball-Hawking Stretch Four",50,54,55,60,58,60,70,80,80,80
