,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"9
Ty Jerome
 PG / SG | 6'5"" | Crafty Iso Savant",80,84,86,69,46,73,62,68,85,80
2,"9
Zach Edey
 C | 7'4"" | Glass Guardian Crafty Finisher",80,63,39,46,84,31,66,85,79,80
3,"10
Jerami Grant
 SF / PF | 6'7"" | Crafty Inside-Out Creator",80,70,76,77,69,77,78,94,95,82
4,"7
Cedric Coward
 SG / SF | 6'5"" | Wing-Running Finisher",85,68,73,88,57,84,83,85,95,80
5,"8
GG Jackson
 PF / SF | 6'9"" | Rim-Rocking Mid-Range Slasher",70,50,62,82,62,79,82,60,88,80
6,"2
Jaylen Wells
 SF / SG | 6'8"" | Mid-Paint Scorer",65,64,75,86,60,80,67,85,85,80
7,"9
Cam Spencer
 SG / PG | 6'3"" | Diming Crafty Sharpshooter",75,84,77,73,45,73,53,90,85,80
8,"10
Isaiah Stewart
 C / PF | 6'8"" | 2-Way Pick & Popper",65,50,34,63,89,71,70,85,80,77
9,"6
Olivier-Maxence Prosper
 C / PF | 6'7"" | Rim-Rocking Stretch Five",80,61,60,79,60,81,88,85,88,80
10,"0
Javon Small
 PG / SG | 6'1"" | Inside-Out High-Flying Slasher",85,75,79,87,49,85,89,90,85,80
,,,,,,,,,,,
11,"7
Scotty Pippen Jr.
 PG / SG | 6'1"" | Chaos General",80,85,86,82,39,82,79,75,82,80
12,"9
Kentavious Caldwell-Pope
 SG / SF | 6'5"" | 2-Way Iso Sniper",50,68,70,85,60,84,69,85,92,84
13,"2
Walter Clayton Jr.
 PG / SG | 6'4"" | Crafty Mid-Range Menace",65,74,79,86,47,84,74,75,80,80
14,"1
Taylor Hendricks
 PF / SF | 6'9"" | Crafty Mid-Paint Scorer",70,62,69,72,62,75,78,85,92,80
15,"0
Kris Murray
 PF / SF | 6'8"" | Crafty Mid-Paint Scorer",75,60,69,68,60,73,75,80,90,80
16,"0
Jahmai Mashack
 SG / SF | 6'4"" | Clamp Thief",75,68,67,82,60,88,80,60,85,80
17,"6
AJ Johnson
 SG / PG | 6'5"" | Blow-By High Flyer",60,72,86,83,39,79,76,75,80,80
18,"0
Dariq Whitehead
 SG / SF | 6'6"" | Inside-Out High-Flying Slasher",70,66,78,79,52,79,82,70,90,77
19,"6
Taj Gibson
 C | 6'9"" | Mid-Range-Scoring Crasher",50,54,35,49,83,57,58,85,75,83
20,"0
Adama Bal
 SG / PG | 6'7"" | 3PT Shot Hunter",60,69,76,76,49,70,73,85,85,80
