,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"31
Giannis Antetokounmpo
  PF / C | 6'11"" | 2-Way Crafty PlaySlash Cleaner",90,95,87,89,94,86,85,95,98,91
2,"24
Bam Adebayo
 C / PF | 6'9"" | 2-Way Paint-Finishing Cleaner",85,74,69,74,85,84,83,90,92,90
3,"13
Andrew Wiggins
 PF / SF | 6'7"" | Inside-Out Rim-Rocking Slasher",80,60,79,82,57,82,97,90,87,83
4,"10
Bobby Portis
 C / PF | 6'10"" | Crafty Post-Scoring Stretch",75,52,52,65,83,64,64,90,85,84
5,"4
Pelle Larsson
 SF / SG | 6'5"" | Mid-Paint Scorer",80,68,68,87,55,80,79,85,85,80
6,"9
Davion Mitchell
 PG / SG | 6'0"" | 3 & D Creator",65,75,86,82,60,88,70,95,90,80
7,"2
Simone Fontecchio
 SF / PF | 6'7"" | Crafty 3-Level Scorer",75,60,58,55,62,66,55,95,80,80
8,"1
Dru Smith
 PG / SG | 6'2"" | 2-Way Crafty Finisher",80,78,79,70,43,70,62,75,85,80
9,"0
Myron Gardner
 SF / SG | 6'5"" | Board-Hunting 3PT Sniper",70,69,72,70,62,78,78,75,84,80
10,"3
Nikola Jovic
 C / PF | 6'10"" | Crafty Inside-Out Point Center",85,68,70,68,44,68,72,70,85,80
,,,,,,,,,,,
11,"0
Keshad Johnson
 PF / SF | 6'6"" | Rim-Running Rim Rocker",60,55,65,92,65,80,89,90,88,80
12,"0
Trevor Keels
 SG | 6'4"" | Physical Combo Guard",70,77,78,74,60,74,68,94,85,80
13,"0
Vladislav Goldin
 C | 7'0"" | Stretch Lob Threat",50,59,44,33,70,30,50,80,80,80
14,"0
Jahmir Young
 PG | 6'2"" | Mid-Range Menace",50,75,80,80,51,78,75,71,84,80
