,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"15
Brandon Miller
 SG / SF | 6'7"" | Inside-Out High-Flying Slasher",95,75,86,78,51,82,85,80,95,80
2,"12
Kon Knueppel
 SF / SG | 6'6"" | Crafty 3PT-Sniping Dimer",95,75,76,65,62,70,78,95,89,80
3,"18
Naz Reid
 C / PF | 6'9"" | Stretch Five Layup Bully",50,65,58,50,87,54,75,95,88,80
4,"15
Coby White
 PG / SG | 6'4"" | 3PT-Sniping Creator",70,84,87,85,56,85,81,85,90,80
5,"11
Grayson Allen
 SG / SF | 6'3"" | Iso Sniper",85,70,78,84,44,78,81,80,85,82
6,"7
Moussa Diabate
 C / PF | 6'10"" | Rim-Rocking Putback Pro",70,52,40,73,60,73,78,95,80,80
7,"7
Ryan Kalkbrenner
 C | 7'1"" | Shot-Erasing Putback Pro",85,50,37,44,67,35,74,85,85,80
8,"6
Royce O’Neale
 PF / SF | 6'6"" | 2-Way Stretch Four",75,63,68,62,67,83,65,80,80,82
9,"6
Grant Williams
 PF / C | 6'7"" | Crafty Stretch Four",70,72,66,58,73,70,66,80,88,80
10,"1
Tidjane Salaun
 PF / SF | 6'10"" | Stretch Four Cleaner",80,45,66,71,60,82,80,90,88,80
,,,,,,,,,,,
11,"9
Dorian Finney-Smith
 PF / SF | 6'7"" | 2-Way Dual Finisher",70,68,60,67,62,82,83,80,80,81
12,"8
Sion James
 SG / SF | 6'5"" | Catch & Shoot 3PT Sniper",75,69,69,93,82,85,81,80,80,80
13,"5
Tre Mann
 PG / SG | 6'4"" | Crafty 3PT-Sniping Creator",70,75,83,74,53,74,68,75,88,80
14,"2
Pat Connaughton
 SG / SF | 6'5"" | Bouncy High Flyer",70,78,78,77,45,78,95,80,80,83
15,"2
Xavier Tillman
 C / PF | 6'8"" | 2-Way Crafty Paint Finisher",60,68,61,46,72,67,69,85,82,80
16,"0
PJ Hall
 C / PF | 6'8"" | Stretch Five Crasher",50,52,60,73,70,52,82,80,87,80
17,"1
Liam McNeeley
 SF / SG | 6'7"" | 3PT-Creating Point Forward",60,68,69,81,54,73,72,80,84,80
18,"1
Tosan Evbuomwan
 SF / PF | 6'8"" | Crafty Laymaking Point Forward",60,69,75,64,58,60,68,95,88,85
19,"1
Antonio Reeves
 SG / SF | 6'5"" | Crafty 3PT Sniper",60,62,70,83,39,78,75,70,85,80
