,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"15
Lauri Markkanen
 SF / PF | 7'1"" | Crafty Post-Scoring 3PT Sniper",90,75,65,63,61,65,62,85,85,80
2,"14
Keyonte George
 PG / SG | 6'4"" | Crafty Laymaker",95,85,86,79,55,78,72,85,84,80
3,"21
Jaren Jackson Jr.
 PF / C | 6'10"" | 2-Way Paint Pounder",75,50,60,63,82,80,75,80,90,94
4,"8
Isaiah Collier
 PG / SG | 6'4"" | Playmaker",70,90,86,95,60,88,75,80,89,80
5,"9
Jusuf Nurkic
 C | 6'11"" | Ball-Snatching Popper",75,82,40,51,90,49,50,75,86,72
6,"4
Ace Bailey
 SG / SF | 6'9"" | Crafty Blow-By High Flyer",90,66,75,85,61,84,79,80,88,80
7,"5
Brice Sensabaugh
 SF / SG | 6'6"" | Crafty 3PT Sniper",85,63,74,65,64,67,70,70,88,79
8,"5
Kyle Filipowski
 C / PF | 6'11"" | Glass-Cleaning Rim Runner",80,60,69,77,68,57,66,90,85,80
9,"7
Jaxson Hayes
 C / PF | 7'0"" | Crafty Rim Wrecker",75,40,38,58,72,64,75,95,80,80
10,"5
Kevin Love
 C / PF | 6'8"" | Crafty Stretch Five Cleaner",50,77,52,60,80,54,60,80,60,77
,,,,,,,,,,,
11,"1
Cody Williams
 PF / SF | 6'8"" | Mid-Range Menace",85,63,82,87,57,86,75,75,90,80
12,"3
John Konchar
 SF / PF | 6'5"" | Disruptive Crafty Finisher",85,79,76,62,40,69,70,90,93,84
13,"3
Svi Mykhailiuk
 SG / SF | 6'7"" | Crafty Sharpshooter",85,64,64,82,54,82,69,65,81,79
14,"6
Josh Okogie
 SG / SF | 6'4"" | Catch & Shoot 3PT Sniper",70,62,76,89,58,84,92,95,80,82
15,"0
Oscar Tshiebwe
 C / PF | 6'8"" | Rim-Running Putback Pro",70,55,40,75,69,67,75,90,80,80
16,"1
Blake Hinson
 PF / SF | 6'8"" | Skilled Stretch Four",80,69,69,59,50,63,70,70,88,84
17,"0
Elijah Harkless
 PG / SG | 6'3"" | 2-Way Blow-By Ace",65,72,76,80,57,85,75,85,85,80
18,"0
Bez Mbeng
 SG / PG | 6'4"" | 2-Way Blow-By Ace",70,68,69,75,56,78,75,75,80,80
19,"0
Tamar Bates
 SG / SF | 6'5"" | Iso Sniper",50,57,70,70,54,73,75,70,85,80
20,"0
Hayden Gray
 SG / PG | 6'4"" | Ball-Hawking Table Setter",50,75,74,69,62,78,68,85,85,80
