,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"16
Domantas Sabonis
  C | 6'10"" | Crafty Mid-Post Break Starter",85,85,60,48,82,49,54,90,95,86
2,"16
DeMar DeRozan
 SF / SG | 6'6"" | Physical Mid-Post Creator",80,75,83,82,73,80,88,80,88,91
3,"14
Zach LaVine
 SG / SF | 6'5"" | Inside-Out Creator",70,67,88,84,49,82,97,65,98,83
4,"10
Russell Westbrook
 PG / SG | 6'4"" | Explosive Blow-By High Flyer",60,82,86,89,75,89,92,95,92,92
5,"5
Maxime Raynaud
 C | 7'1"" | Mid-Range Scoring Cleaner",85,54,52,67,69,52,66,85,85,80
6,"12
Malik Monk
 SG / PG | 6'3"" | Inside-Out Combo Guard",75,75,79,80,48,80,88,72,88,80
7,"8
Precious Achiuwa
 PF / C | 6'8"" | Crafty Putback Masher",70,50,49,75,78,74,79,90,84,76
8,"12
Keegan Murray
 PF / SF | 6'8"" | 2-Way Crafty Finisher",60,66,70,76,60,79,79,86,85,80
9,"9
De’Andre Hunter
 SF / PF | 6'7"" | Crafty 2-Way Middy Scorer",60,64,70,76,65,83,75,80,88,80
10,"4
Nique Clifford
 SF / SG | 6'5"" | 3PT-Sniping Creator",70,64,74,86,62,82,80,80,88,80
,,,,,,,,,,,
11,"8
Dylan Cardwell
 C / PF | 6'10"" | Glass Guardian Lob Threat",60,62,44,51,82,62,80,90,80,80
12,"4
Drew Eubanks
 C | 6'10"" | Shot-Erasing Crafty Stretch",75,55,37,61,68,62,75,85,80,83
13,"3
Jonathan Mogbo
 PF / C | 6'9"" | Board-Hunting Rim Runner",60,67,70,91,68,79,75,85,88,80
14,"0
Daeqwon Plowden
 SF / SG | 6'4"" | Blow-By High Flyer",60,62,67,83,62,82,83,75,80,80
15,"1
Killian Hayes
  PG / SG | 6'5"" | 2-Way Playmaker",70,84,83,79,56,79,70,85,89,83
16,"1
Patrick Baldwin Jr.
 PF / SF | 6'9"" | Stretch Four Cleaner",70,60,58,57,69,64,62,70,85,80
17,"2
Doug McDermott
 SF / PF | 6'7"" | Crafty 3-Level Scorer",60,65,67,59,60,60,67,67,81,83
18,"0
Isaiah Stevens
 PG / SG | 5'11"" | Speedy Blow-By Ace",60,78,79,88,48,87,72,76,80,79
19,"0
Adam Flagler
 PG / SG | 6'3"" | Sharpshooter",65,62,69,72,47,70,70,75,84,87
