,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"20
Jalen Brunson
 PG | 6'2"" | Crafty Offensive Engine",95,98,95,84,60,84,75,95,98,81
2,"18
Karl-Anthony Towns
  C / PF | 7'0"" | Inside-Out Break Starter",85,79,65,76,87,76,70,90,98,82
3,"20
OG Anunoby
 SF / PF | 6'7"" | 2-Way 3PT-Sniping High Flyer",90,52,72,81,68,91,85,85,85,81
4,"15
Mikal Bridges
 SG / SF | 6'6"" | 2-Way Combo Guard Creator",75,88,82,80,68,87,85,95,92,84
5,"21
Josh Hart
 PF / SF | 6'5"" | 2-Way Skilled Stretch Cleaner",70,75,79,81,64,86,69,99,99,82
6,"12
Miles McBride
 SG / PG | 6'2"" | 2-Way Iso Sniper",80,72,88,86,44,86,80,85,85,80
7,"8
Jose Alvarado
  PG / SG | 6'0"" | 2-Way Crafty Finisher",75,71,73,76,42,86,78,79,80,80
8,"4
Landry Shamet
 SG / SF | 6'5"" | Shot-Creating Combo Guard",80,79,78,85,41,85,80,81,85,81
9,"9
Jordan Clarkson
  SG / SF | 6'5"" | Laymaking Two Guard",70,73,86,79,54,75,85,80,80,83
10,"8
Andre Drummond
 C | 6'11"" | Board-Hunting Stretch Riser",50,70,45,60,94,58,79,75,75,81
,,,,,,,,,,,
11,"8
Jeremy Sochan
  PF / C | 6'8"" | Crafty Laymaking Point Four",60,82,79,70,60,74,74,85,90,80
12,"8
Tyler Kolek
 PG / SG | 6'2"" | Crafty 3-Level Scorer",70,79,77,74,54,84,74,90,90,80
13,"1
Mohamed Diawara
 PF / SF | 6'9"" | Rim-Rocking Stretch Four",75,54,57,74,69,69,84,85,85,80
14,"3
Trey Jemison III
 C | 6'10"" | Ball-Snatching Rim Rocker",70,45,40,55,76,52,72,90,90,82
15,"0
Kevin McCullar Jr.
 SF / SG | 6'6"" | 3-Level-Diming Crasher",50,67,66,75,55,82,75,80,90,80
16,"0
Pacome Dadiet
 SF / PF | 6'9"" | Iso Sniper",50,58,75,78,50,76,65,80,85,80
17,"0
Dillon Jones
 PF / C | 6'5"" | Speedy Point Four",50,69,70,75,70,82,71,80,85,80
