,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"24
Luka Doncic
 PG / SG | 6'8"" | Crafty Offensive Engine",98,95,95,84,72,77,79,98,90,85
2,"16
Austin Reaves
 SG / SF | 6'5"" | Crafty Iniside-Out Combo Guard",85,85,86,83,44,80,81,80,94,80
3,"9
Walker Kessler
 C | 7'2"" | Crafty Mashing Board Enforcer",80,48,44,37,74,52,60,90,88,80
4,"13
Collin Sexton
 SG / PG | 6'3"" | 3PT Creator",80,74,86,88,48,88,84,80,95,81
5,"11
Quentin Grimes
 SG / SF | 6'4"" | Physical Perimeter Lock",70,75,79,86,63,84,75,80,85,80
6,"9
Sandro Mamukelashvili
  PF / C | 6'9"" | Crafty Stretch Four Cleaner",85,69,59,59,73,59,69,85,85,80
7,"11
Jarred Vanderbilt
 PF / C | 6'8"" | Lockdown Defender",50,38,65,75,70,83,80,95,75,78
8,"5
Jaden Hardy
 SG / PG | 6'3"" | Iso Sniper",60,75,83,83,39,83,85,85,84,80
9,"0
Jake LaRavia
 SF / SG | 6'7"" | 2-Way Crafty Finisher",70,68,68,59,62,78,72,85,88,80
10,"6
Maxi Kleber
 C / PF | 6'10"" | 2-Way Table Setter",60,68,64,45,79,77,56,80,85,80
,,,,,,,,,,,
11,"6
Dalton Knecht
 SF / SG | 6'6"" | Mid-Paint Scorer",60,65,68,86,50,59,77,85,90,80
12,"3
Nick Smith Jr.
 PG / SG | 6'2"" | Inside-Out High-Flying Slasher",70,72,79,84,48,84,86,75,89,80
13,"0
Drew Timme
 C / PF | 6'10"" | Crafty Stretch Five",70,70,52,48,68,40,66,75,80,81
14,"0
Bronny James
 PG / SG | 6'2"" | Blow-By High Flyer",60,65,70,87,60,87,90,90,90,80
15,"0
Adou Thiero
 SF / PF | 6'7"" | High-Flying Wing Runner",35,47,69,87,69,85,92,70,80,80
16,"0
Chris Manon
 SG / SF | 6'4"" | Ball-Hawking High Flyer",50,65,68,83,58,84,88,95,80,80
17,"23
LeBron James
 SF / PF | 6'9"" | All-Around Point Forward",95,97,90,80,85,78,80,88,88,88
