,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"20
Paolo Banchero
  PF / SF | 6'10"" | Glass-Cleaning Rim Runner",70,84,76,80,77,80,83,85,90,80
2,"15
Franz Wagner
 SF / PF | 6'10"" | Crafty Mid-Paint Point Forward",80,84,85,70,65,73,75,85,85,80
3,"9
Desmond Bane
 SG / SF | 6'6"" | Crafty 3PT Sniper",80,74,80,74,56,80,78,85,92,78
4,"11
Anthony Black
 PG / SG | 6'7"" | 2-Way Crafty Laymaker",85,77,86,75,58,85,75,90,92,80
5,"16
Jalen Suggs
 PG / SG | 6'5"" | 2-Way Mid-Range Slasher",60,77,80,88,59,92,90,85,88,80
6,"11
Wendell Carter Jr.
 C / PF | 6'10"" | Post-Scoring Stretch",60,70,50,68,82,55,68,90,85,81
7,"10
Nikola Vucevic
 C | 6'9"" | Triple-Double Threat",70,76,35,62,87,49,45,70,88,77
8,"0
Tristan da Silva
  SF / PF | 6'8"" | 3PT Sniper",95,68,69,85,62,67,67,85,90,80
9,"10
Goga Bitadze
 C | 6'11"" | Putback Power-Finishing Eraser",70,69,60,53,88,37,63,75,80,80
10,"2
Jevon Carter
 PG / SG | 6'0"" | 2-Way Sharpshooter",80,70,79,76,60,83,71,76,85,81
,,,,,,,,,,,
11,"1
Noah Penda
 PF / SF | 6'7"" | Stretch Four Crasher",70,68,69,66,70,84,67,85,85,80
12,"0
Jamal Cain
 SF / PF | 6'7"" | Crafty 3PT Sniper",75,49,53,66,60,68,75,70,80,83
13,"2
Jett Howard
 SG / SF | 6'8"" | 3PT-Creating Combo Guard",70,65,73,69,58,69,72,80,90,80
14,"8
Jonathan Isaac
 PF / C | 6'10"" | Lockdown Defender",35,52,57,73,70,80,80,65,70,67
15,"3
Jase Richardson
 SG / PG | 6'1"" | Crafty 3-Level Scorer",70,72,79,81,57,84,80,85,85,80
16,"3
Colin Castleton
 PF / C | 6'10"" | Stretch Four Crasher",50,60,57,58,63,54,63,85,80,80
17,"0
Alex Morales
 SG / SF | 6'6"" | 3PT High-Flying Ball Hawk",50,70,75,72,60,75,72,75,85,82
