,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"18
Kyrie Irving
  PG / SG | 6'2"" | Crafty Iso Savant",80,80,99,85,37,85,81,87,89,80
2,"11
Cooper Flagg
 SF / PG | 6'9"" | 2-Way Mid-Paint Scorer",95,70,76,83,65,85,77,90,90,80
3,"9
Naji Marshall
 SF / PG | 6'6"" | Diming Crafty Layup Artist",85,75,74,62,67,65,75,70,85,80
4,"4
Santi Aldama
 PF / C | 7'0"" | Crafty Stretch Four",85,70,68,59,70,60,59,80,80,79
5,"13
P.J. Washington
 PF / SF | 6'7"" | 2-Way Rim Rocker",70,60,70,75,68,80,69,85,85,79
6,"11
Daniel Gafford
 C | 6'10"" | 2-Way Rim-Running Lob Threat",70,37,35,75,73,70,80,89,75,80
7,"12
Dereck Lively II
 C | 7'1"" | 2-Way Versatile Paint Finisher",80,68,52,50,70,57,67,95,80,80
8,"10
Klay Thompson
 SG / SF | 6'5"" | Physical 3 & D Sniper",80,57,67,71,62,75,67,80,91,94
9,"8
Max Christie
 SG / SF | 6'5"" | 3 & D Two Guard",75,66,70,87,55,87,82,85,98,80
10,"7
Khris Middleton
 SF / PF | 6'7"" | Physical Middy Maestro",60,74,75,71,73,74,66,80,75,90
,,,,,,,,,,,
11,"4
Caleb Martin
 PF / SF | 6'5"" | 2-Way Crafty Stretch Four",80,69,69,68,58,74,74,90,85,80
12,"8
Ryan Nembhard
 PG | 5'11"" | Playmaking 3PT Creator",70,89,86,80,37,79,68,85,85,80
13,"5
Dwight Powell
 C | 6'10"" | Crafty Post-Scoring Stretch",30,64,60,71,80,58,67,95,90,83
14,"4
Moussa Cisse
 C | 6'11"" | Putback Rim-Rocking Eraser",50,40,40,59,68,57,79,90,80,82
15,"3
John Poulakidas
  SG / SF | 6'6"" | Physical Sharpshooter",75,54,59,62,53,57,63,65,85,80
16,"0
Tyler Smith
 C / PF | 6'9"" | Rim-Rocking Stretch Five",60,58,57,72,58,69,84,75,85,80
