,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"11
Michael Porter Jr.
 SF / PF | 6'10"" | 3PT-Sniping Cleaner",80,62,78,80,68,81,88,80,88,66
2,"16
Julius Randle
 PF / C | 6'9"" | Physical Post Creator",85,75,80,73,87,76,69,90,95,84
3,"2
Ziaire Williams
 SF / SG | 6'9"" | Ball-Hawking Blow-By Ace",80,54,79,87,40,87,82,80,90,80
4,"7
Day’Ron Sharpe
 C | 6'9"" | Ball Snatcher",75,66,58,61,79,61,73,95,80,80
5,"10
Egor Demin
 SG / PG | 6'8"" | Crafty Inside-Out Combo Guard",70,85,86,70,60,75,74,90,88,80
6,"5
Josh Minott
  PF / C | 6'8"" | Ball-Hawking Stretch Four",75,60,63,72,62,76,80,85,90,80
7,"7
Moritz Wagner
 C / PF | 6'11"" | Stretch Five Cleaner",60,55,40,73,78,67,75,85,78,81
8,"3
Danny Wolf
  PF / SF | 6'11"" | Break-Starting Stretch Four",80,75,69,47,60,52,57,85,90,80
9,"9
Keon Ellis
 SF / SG | 6'4"" | 2-Way Crafty Finisher",50,65,74,81,48,84,79,80,85,80
10,"7
Nolan Traore
 PG / SG | 6'3"" | Speedy Blow-By Ace",80,80,86,85,56,85,74,80,92,80
,,,,,,,,,,,
11,"4
Noah Clowney
 PF / C | 6'10"" | Stretch Rim Wrecker",95,68,59,64,64,64,75,85,90,80
12,"3
Terance Mann
 SG / SF | 6'6"" | Crafty 3-Level Dime-Dropper",70,83,79,71,50,73,79,90,85,80
13,"1
Ochai Agbaji
 SF / PF | 6'5"" | Mid-Range Menace",75,60,75,85,64,79,85,85,90,80
14,"1
Ben Saraf
 PG / SG | 6'6"" | Point-Fading Wizard",75,83,76,83,52,79,67,70,80,80
15,"2
Jalen Wilson
 SF / PF | 6'6"" | Athletic Stretch Four",80,63,68,82,30,79,75,84,80,80
16,"2
Drake Powell
 SG / PG | 6'5"" | High-Flying Wing Runner",50,69,70,86,54,87,95,90,85,80
17,"0
Chaney Johnson
 SF / PF | 6'7"" | High-Flying Putback Pro",65,55,65,79,60,79,85,90,80,80
18,"1
Tyson Etienne
 PG / SG | 6'0"" | 3PT Shot Hunter",75,70,81,83,44,79,72,75,85,80
19,"1
Malachi Smith
 PG / SG | 6'4"" | Ball-Hawking Sharpshooter",75,76,75,76,52,69,65,69,84,80
20,"2
E.J. Liddell
 PF / SF | 6'6"" | Shot-Erasing Mid-Range Scorer",40,58,60,73,65,73,89,65,80,80
21,"0
Trevon Scott
 PF / SF | 6'8"" | Crafty 3-Level Scoring Crasher",60,64,68,62,60,52,72,75,85,78
