,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"24
Nikola Jokic
 C | 6'11"" | Triple-Double Threat",85,98,76,63,96,62,63,80,97,83
2,"18
Jamal Murray
 PG / SG | 6'4"" | Iso Savant",90,85,89,80,54,80,80,85,95,78
3,"12
Aaron Gordon
 PF / C | 6'8"" | 2-Way Rim-Wrecking Stretch",75,60,62,71,72,84,92,95,95,84
4,"12
Peyton Watson
 SF / PF | 6'7"" | Shot-Erasing Sharpshooter",80,62,70,77,55,80,82,75,88,80
5,"6
Cameron Johnson
 SF / SG | 6'8"" | 3PT Layup Artist",80,66,59,70,60,70,79,86,85,78
6,"6
Tim Hardaway Jr.
 SG / SF | 6'5"" | Crafty 3-Level Scorer",85,84,78,68,55,75,78,83,85,83
7,"12
Christian Braun
 SG / SF | 6'6"" | Versatile Paint Finisher",70,74,69,83,46,83,83,95,93,80
8,"10
Jonas Valanciunas
 C | 6'11"" | Board-Hunting Post Bully",70,65,35,49,91,48,54,80,90,81
9,"5
Marvin Bagley III
 C / PF | 6'11"" | Stretch Five Crasher",75,60,62,73,80,74,86,80,85,87
10,"0
Julian Strawther
  SF / SG | 6'6"" | 3PT-Sniping Creator",80,65,74,63,53,70,64,75,90,80
,,,,,,,,,,,
11,"6
Bruce Brown
 SF / PG | 6'4"" | 3PT-Creating Point Forward",70,87,79,78,75,78,80,80,92,84
12,"3
Zeke Nnaji
 C / PF | 6'9"" | Rim Runner",55,42,37,77,70,77,82,89,80,83
13,"2
Spencer Jones
 PF / SF | 6'7"" | Crafty Stretch Four",70,57,68,67,50,64,68,95,80,80
14,"4
KJ Simpson
 PG | 6'2"" | Tempo Setter",75,78,87,76,52,83,82,80,85,80
15,"0
DaRon Holmes II
 C / PF | 6'10"" | Athletic Stretch Five",65,50,60,75,60,69,64,80,88,80
16,"0
Jalen Pickett
 PG / SG | 6'2"" | Physical 3PT Sniper",80,74,75,72,59,72,67,70,88,79
17,"8
Tyus Jones
 PG | 6'1"" | Crafty Table Setter",70,88,86,71,34,71,57,87,92,84
18,"1
David Roddy
 PF / SF | 6'4"" | Crafty 3-Level Scoring Cleaner",60,60,66,75,73,74,66,85,88,80
19,"0
Curtis Jones
 SG / PG | 6'3"" | Iso Sniper",50,67,70,76,49,80,75,81,85,80
