,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"17
Tyrese Haliburton
 PG / SG | 6'5"" | Crafty Offensive Engine",95,96,90,83,59,84,70,95,95,80
2,"23
Pascal Siakam
 PF / C | 6'8"" | 2-Way Inside-Out Creator",85,79,79,76,70,78,79,80,95,82
3,"17
Ivica Zubac
 C | 7'0"" | 2-Way Post Bully Cleaner",65,47,35,43,90,63,75,85,80,80
4,"14
Andrew Nembhard
 PG / SG | 6'4"" | 2-Way Finisher",85,80,79,76,46,88,71,69,85,80
5,"9
T.J. McConnell
 PG | 6'1"" | 2-Way Crafty Mid-Paint Maestro",85,92,79,76,44,82,65,92,85,83
6,"10
Jarace Walker
 SF / PF | 6'7"" | 3PT-Sniping Posterizer",85,68,62,81,80,81,90,80,90,80
7,"13
Obi Toppin
 PF / C | 6'9"" | Paint-Finishing Cleaner",70,59,60,70,74,69,90,70,88,88
8,"13
Kelly Oubre Jr.
 SF / PF | 6'8"" | Mid-Range High Flyer",65,75,74,72,58,82,95,75,90,84
9,"7
Aaron Nesmith
 SF / SG | 6'6"" | Crafty 3 & D Wing",85,65,70,78,52,76,79,85,87,81
10,"5
Jay Huff
 C | 7'1"" | Shot-Erasing Mid-Range Scorer",80,60,43,48,62,47,62,85,80,77
,,,,,,,,,,,
11,"1
Micah Potter
 C / PF | 6'9"" | Crafty Stretch Five Cleaner",95,55,42,43,74,43,60,85,80,81
12,"1
Quenton Jackson
 SG / PG | 6'4"" | Dime-Dropping 3PT Gunner",80,78,78,85,42,85,88,75,80,79
13,"1
Kobe Brown
 PF / SF | 6'7"" | Crafty Stretch Four Crasher",75,70,70,60,74,62,66,85,88,80
14,"2
Ben Sheppard
 SG / SF | 6'6"" | 2-Way Sharpshooter",75,70,73,84,54,84,75,90,85,80
15,"0
Johnny Furphy
 SF / SG | 6'8"" | Crafty 3PT-Sniping Cleaner",75,64,59,79,54,63,79,90,85,80
16,"0
Jalen Slawson
 SF / PF | 6'7"" | Disruptive High Flyer",70,49,66,68,62,67,72,64,85,83
17,"0
Ethan Thompson
 SG / SF | 6'5"" | Crafty Sharpshooter",80,70,70,76,59,70,69,68,81,80
18,"4
Taelon Peter
 PG / SG | 6'3"" | 3-Level Scorer",80,69,69,81,41,,80,,85,
