,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"18
Zion Williamson
 PF / PG | 6'6"" | Versatile Paint Bully",70,72,78,84,92,81,97,95,83,60
2,"17
Trey Murphy III
 SG / SF | 6'8"" | Crafty Inside-Out Scorer",95,64,64,84,60,76,82,85,85,80
3,"14
Dejounte Murray
 PG / SG | 6'4"" | 2-Way Mid-Range Menace",80,82,86,83,40,85,60,90,90,80
4,"11
Saddiq Bey
 SF / PF | 6'8"" | 3PT-Sniping Layup Bully",90,75,76,63,74,72,70,90,81,81
5,"10
Derik Queen
 PF / C | 6'9"" | Break-Starting Crafty Finisher",75,82,69,54,80,54,62,80,85,80
6,"12
Jeremiah Fears
 PG / SG | 6'3"" | Speedy Blow-By Ace",75,79,88,94,49,88,75,85,85,80
7,"14
Herbert Jones
 SF / SG | 6'7"" | Lockdown Defender",40,75,75,74,59,91,72,85,82,80
8,"6
Yves Missi
  C / PF | 6'11"" | Rim-Running Putback Eraser",80,37,35,78,72,67,85,95,80,80
9,"5
DeAndre Jordan
 C | 6'11"" | Physical Glass Guardian",75,66,30,65,85,62,83,80,92,94
10,"13
Jordan Poole
 SG / PG | 6'4"" | Combo Guard",70,82,89,81,61,79,73,65,80,80
,,,,,,,,,,,
11,"9
Karlo Matkovic
 PF / C | 6'10"" | Shot-Erasing Stretch Riser",70,52,55,56,77,51,67,80,80,80
12,"1
Bryce McGowens
 SF / SG | 6'6"" | 3-Level Scorer",75,50,74,74,48,75,81,75,85,80
13,"8
Kevon Looney
 C | 6'9"" | Board-Hunting Stretch Five",50,66,61,58,74,69,63,96,85,84
14,"3
Jordan Hawkins
 SG / PG | 6'5"" | 3PT-Creating Combo Guard",70,71,74,70,48,72,67,80,89,80
15,"0
Micah Peavy
 SF / SG | 6'7"" | Slashing Point Forward",60,75,76,85,53,82,78,75,85,80
16,"0
Trey Alexander
 PG / SG | 6'5"" | Iso Sniper",60,70,73,78,34,75,67,75,80,80
17,"0
Hunter Dickinson
 C | 7'1"" | Stretch Five Cleaner",50,65,40,37,74,39,50,75,80,80
18,"0
Josh Oduro
PF / C | 6'9"" | Board-Hunting Middy Scorer",60,67,62,57,66,58,65,90,78,76
