,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"20
Cade Cunningham
 PG / SG | 6'6"" | 2-Way Crafty 3-Level Playmaker",90,95,86,83,62,84,80,95,94,80
2,"13
Ausar Thompson
 SF / PF | 6'7"" | 2-Way Blow-By High Flyer",40,70,78,94,50,96,98,95,95,80
3,"11
Jalen Duren
 C | 6'10"" | Board-Enforcing Power Finisher",70,50,59,73,95,68,84,80,89,80
4,"9
John Collins
 PF / C | 6'9"" | Stretch Rim Wrecker",75,58,60,71,75,65,85,85,92,84
5,"5
Duncan Robinson
 SG / SF | 6'7"" | Crafty Sharpshooter",85,70,72,59,35,67,72,75,85,83
6,"9
Daniss Jenkins
 PG / SG | 6'4"" | Iso Sniper",80,85,86,75,45,75,70,80,85,80
7,"10
Caris LeVert
 SF / SG | 6'7"" | Shot-Erasing Mid-Range Menace",60,84,86,75,54,77,80,80,92,78
8,"8
Paul Reed
 C / PF | 6'9"" | Disruptive Crafty Putback Pro",75,44,52,49,84,52,65,80,80,80
9,"6
Isaiah Joe
 SG / PG | 6'4"" | Crafty 3-Level Scorer",75,69,74,72,47,77,79,75,80,87
10,"1
Javonte Green
 SF / SG | 6'5"" | Ball-Hawking High Flyer",70,68,72,72,46,74,85,85,80,82
,,,,,,,,,,,
11,"13
Ronald Holland II
 PF / SF | 6'8"" | 2-Way Blow-By Laymaker",60,60,75,85,69,88,80,85,90,80
12,"7
Kevin Huerter
 SG / SF | 6'6"" | Crafty Laymaker",55,76,79,84,50,73,75,80,85,83
13,"7
Marcus Sasser
 PG / SG | 6'1"" | 3PT Shot Hunter",85,74,80,75,47,83,69,85,85,80
14,"0
Isaac Jones
 PF / C | 6'8"" | Shot-Erasing Putback Pro",60,44,58,70,70,67,74,90,85,80
15,"0
Wendell Moore Jr.
 SF / SG | 6'5"" | High-Flying 3PT Sniper",70,54,67,70,58,74,83,90,85,80
16,"1
Chaz Lanier
 SG / SF | 6'3"" | Speedy Blow-By Ace",50,57,72,85,48,79,88,80,92,80
17,"0
Tolu Smith
 C / PF | 6'11"" | Board-Hunting Post Scorer",50,42,34,52,80,44,65,65,80,80
