,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"21
Kawhi Leonard
 SF / SG | 6'7"" | 2-Way Mid-Range Menace",98,82,86,84,79,89,79,85,85,82
2,"17
Scottie Barnes
 PF / PG | 6'8"" | Mid-Paint Playmaking Eraser",80,88,79,82,74,82,92,95,88,80
3,"12
Immanuel Quickley
 PG / SG | 6'2"" | 2-Way Mid-Range Menace",85,80,86,82,54,82,79,85,89,79
4,"11
RJ Barrett
 SG / SF | 6'6"" | 2-Way Bullmaker",80,84,83,84,76,84,82,80,95,80
5,"12
Collin Murray-Boyles
 C / PF | 6'7"" | Ball-Hawking Blow-By Laymaker",80,70,74,83,70,86,75,95,85,80
6,"11
Jakob Poeltl
 C | 7'0"" | Crafty Mid-Post Scorer",75,62,38,51,80,37,57,80,80,80
7,"3
Ja’Kobe Walter
 SG / SF | 6'4"" | Ball-Hawking 3PT Sniper",85,69,70,90,57,82,76,85,88,80
8,"5
Jamal Shead
 PG / SG | 6'1"" | Speedy Blow-By Ace",85,86,86,97,49,94,74,95,88,80
9,"3
Jamison Battle
 SF / PF | 6'7"" | Crafty Sharpshooter",60,51,62,64,55,58,65,70,80,80
10,"13
Kyle Anderson
  PF / C | 6'8"" | Defensive Playmaker",70,79,81,66,62,80,66,64,85,83
,,,,,,,,,,,
11,"5
A.J. Lawson
 SF / SG | 6'6"" | Crafty 3PT-Sniping Dimer",85,64,69,74,34,79,80,80,85,80
12,"5
Trayce Jackson-Davis
 C / PF | 6'9"" | Rim-Running Rim Rocker",60,64,66,79,63,74,88,85,85,80
13,"0
Alijah Martin
 SG / PG | 6'2"" | Ball-Hawking Wing Runner",40,67,73,88,62,88,85,85,85,80
14,"0
Garrett Temple
 SG / SF | 6'5"" | 2-Way Combo Guard",70,74,75,57,44,76,69,79,85,82
15,"2
Chucky Hepburn
 PG | 6'0"" | Clamp Thief",30,76,76,76,43,90,62,87,85,80
