,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"19
Kevin Durant
 SF / SG | 6'11"" | Crafty Walking Bucket",80,88,92,80,63,78,77,90,94,88
2,"15
Alperen Sengun
 C / PF | 6'11"" | Dime-Dropping Post Bully",90,84,62,52,86,64,69,90,88,80
3,"20
Amen Thompson
 SG / PG | 6'7"" | 2-Way Blow-By High Flyer",75,80,86,95,59,93,99,85,95,80
4,"12
Jabari Smith Jr.
 PF / SF | 6'10"" | Crafty Rim-Rocking Stretch",80,66,75,76,60,76,75,85,89,80
5,"7
Reed Sheppard
 PG / SG | 6'2"" | Ball-Hawking 3PT Shot Hunter",80,79,79,90,56,89,87,95,93,80
6,"10
Fred VanVleet
 PG | 6'0"" | 2-Way Blow-By Ace",80,85,86,83,42,80,75,94,95,82
7,"12
Marcus Smart
 SF / SG | 6'3"" | 2-Way Mid-Range Bully",70,75,74,75,73,89,83,90,89,83
8,"17
Tari Eason
 SF / SG | 6'8"" | Physical Perimeter Lock",60,47,70,80,70,85,80,85,85,80
9,"12
Clint Capela
 C | 6'10"" | Rim-Protecting Crasher",70,35,48,58,82,51,68,75,78,83
10,"9
Steven Adams
 C | 6'11"" | Paint Crasher",40,68,35,48,96,63,68,75,68,82
,,,,,,,,,,,
11,"2
Aaron Holiday
 SG / PG | 6'0"" | Shot-Creating Combo Guard",85,82,86,76,49,77,56,85,85,84
12,"9
Bogdan Bogdanovic
 SG / SF | 6'5"" | 3PT Shot Hunter",70,70,76,75,63,75,78,67,89,77
13,"5
Jae’Sean Tate
 SF / PF | 6'4"" | Crafty Laymaker",50,72,74,69,65,70,75,95,89,80
14,"7
Jeff Green
 PF / C | 6'8"" | Skilled Stretch Four",50,64,74,63,70,75,84,85,89,82
15,"0
JD Davison
 PG / SG | 6'1"" | Blow-By High Flyer",50,75,86,85,54,85,84,45,88,80
16,"0
Tristen Newton
 SG / PG | 6'5"" | Combo Guard",50,74,79,76,49,81,68,85,88,80
17,"0
Isaiah Crawford
 SF / SG | 6'6"" | Crafty 3-Level Scorer",50,47,57,61,59,61,74,75,90,80
