,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"26
Victor Wembanyama
 C / PF | 7'4"" | Backline Stretch Post Scorer",95,84,73,66,69,69,72,98,97,88
2,"14
Stephon Castle
 SG / PG | 6'6"" | 2-Way Slashing Combo Guard",95,85,83,82,59,93,72,90,90,80
3,"18
De’Aaron Fox
 PG / SG | 6'3"" | 2-Way Mid-Range Menace",80,85,86,97,46,93,84,90,96,80
4,"10
Dylan Harper
  PG / SG | 6'5"" | Mid-Range Slasher",90,78,90,88,52,89,83,85,90,80
5,"12
Tobias Harris
 PF / SF | 6'8"" | Crafty Mid-Post Point Four",70,78,79,75,73,67,79,73,97,82
6,"7
Julian Champagnie
 PF / SF | 6'7"" | 2-Way Stretch Four",95,64,68,69,37,75,67,80,85,80
7,"10
Devin Vassell
 SF / SG | 6'5"" | Shot-Creating Point Forward",50,79,82,72,60,80,77,85,89,82
8,"8
Keldon Johnson
 SG / SF | 6'6"" | Power Finisher",75,74,79,76,70,78,71,95,90,80
9,"11
Luke Kornet
 C | 7'1"" | Shot-Erasing Post Crasher",80,60,43,38,66,37,62,85,85,77
10,"9
Harrison Barnes
 PF / SF | 6'7"" | Skilled Stretch Four",60,67,78,77,70,75,95,75,92,82
,,,,,,,,,,,
11,"7
Carter Bryant
 SF / PF | 6'6"" | High-Flying Wing Runner",60,62,70,88,60,88,80,85,85,80
12,"6
Mason Plumlee
 C | 7'0"" | Break-Starting Paint Finisher",70,72,37,57,80,48,75,92,78,83
13,"7
Kelly Olynyk
 C / PF | 7'0"" | Crafty Stretch Five Dimer",70,76,42,31,70,35,55,90,89,82
14,"2
Lindy Waters III
 SG / SF | 6'5"" | Crafty Sharpshooter",75,67,69,60,33,69,67,70,83,80
15,"3
Jordan McLaughlin
 PG | 5'11"" | Ball-Hawking 3PT Shot Hunter",85,80,84,72,52,74,74,70,80,83
16,"0
David Jones Garcia
 SG / PG | 6'4"" | Diming Inside-Out Scorer",70,74,60,73,59,76,78,75,80,87
17,"3
Bismack Biyombo
 C | 6'8"" | 2-Way Crafty Finisher",40,74,35,48,80,55,63,95,79,83
18,"0
Harrison Ingram
 SF / SG | 6'5"" | Blow-By Bully",50,62,70,82,73,75,82,75,88,80
19,"0
Emanuel Miller
 SF / SG | 6'5"" | High-Flying Wing Runner",50,57,60,82,60,79,84,80,85,80
