,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"20
Devin Booker
 SG / PG | 6'5"" | Crafty Offensive Engine",95,80,93,83,59,80,79,95,95,81
2,"12
Dillon Brooks
 SF / PF | 6'7"" | 2-Way Finisher",75,58,70,75,65,88,75,95,88,85
3,"15
Jalen Green
  SG / SF | 6'4"" | Mid-Range High Flyer",70,79,86,88,55,88,92,85,88,80
4,"12
Mark Williams
 C | 7'1"" | Bullmashing Putback Pro",85,64,35,65,86,64,75,88,75,57
5,"10
Miles Bridges
 PF / SF | 6'7"" | Versatile Post Bully",85,74,76,75,84,76,85,80,93,85
6,"9
Collin Gillespie
 PG | 6'1"" | 3PT-Sniping Creator",90,84,79,82,33,82,72,80,85,80
7,"5
Luke Kennard
 SG / PG | 6'5"" | Crafty Sharpshooter",65,74,75,69,40,68,60,70,92,80
8,"5
Jordan Goodwin
 PG / SG | 6'3"" | 3 & D Crasher",75,78,78,75,49,84,55,95,80,80
9,"3
Oso Ighodaro
 C / PF | 6'11"" | Rim-Running Finisher",80,59,60,86,64,74,90,85,85,80
10,"4
Pat Spencer
 PG / SG | 6'3"" | High-Flying 3PT Sniper",75,79,79,75,54,75,83,85,85,84
,,,,,,,,,,,
11,"0
Rasheer Fleming
 PF / C | 6'9"" | Skilled Stretch Crasher",80,52,62,77,75,70,75,80,85,80
12,"3
Ryan Dunn
 PF / SF | 6'7"" | Perimeter Lock",50,55,69,83,65,88,79,90,88,80
13,"5
Khaman Maluach
 C | 7'1"" | Shot-Erasing Rim Wrecker",50,51,44,48,70,63,65,85,85,80
14,"0
Jamaree Bouyea
 PG / SG | 6'2"" | Disruptive Blow-By Ace",80,70,76,83,41,83,70,85,85,82
15,"0
Amir Coffey
 SF / SG | 6'7"" | Crafty Mid-Range Menace",60,74,75,75,52,75,75,70,80,79
16,"7
Haywood Highsmith
 SF / PF | 6'5"" | Crafty 3 & D Wing",70,55,70,70,50,81,79,65,80,86
17,"0
Isaiah Livers
 SF / PF | 6'6"" | Iso Sniper",70,65,70,73,55,74,71,66,85,82
18,"1
Koby Brea
  SG / SF | 6'5"" | Diming Sharpshooter",60,66,67,68,51,66,64,88,85,80
19,"0
CJ Huntley
 PF / C | 6'9"" | Rim-Wrecking Putback Pro",50,58,48,59,50,57,80,80,80,80
