,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"26
Shai Gilgeous-Alexander
 PG / SG | 6'6"" | 2-Way Mid-Paint Playmaker",90,98,95,86,62,86,85,90,98,80
2,"18
Chet Holmgren
 PF / C | 7'1"" | Backline Crafty 3-Level Scorer",75,59,65,75,45,75,75,90,87,80
3,"24
Jalen Williams
 SF / PF | 6'5"" | 2-Way Point Forward",70,78,86,87,68,92,83,90,90,80
4,"11
Isaiah Hartenstein
  C | 7'0"" | Crafty Mashing Board Enforcer",75,60,56,62,84,62,70,95,80,77
5,"15
Ajay Mitchell
  PG / SG | 6'4"" | Crafty 3PT Sniper",90,75,82,83,53,80,65,75,87,80
6,"9
Cason Wallace
 SG / PG | 6'3"" | 2-Way 3PT-Sniping Layup Artist",80,75,78,75,55,91,72,85,90,80
7,"12
Alex Caruso
 SF / PG | 6'5"" | 2-Way Iso Sniper",80,75,78,82,31,94,72,85,85,81
8,"12
Luguentz Dort
  SG / SF | 6'4"" | 2-Way Mid-Paint Bully",50,68,72,79,70,94,87,94,92,80
9,"10
Jared McCain
 PG / SG | 6'3"" | Iso Sniper",90,73,86,76,52,76,68,80,85,80
10,"9
Jaylin Williams
 C | 6'9"" | Stretch Five Cleaner",90,74,59,50,60,57,62,90,78,80
,,,,,,,,,,,
11,"2
Kenrich Williams
 PF / C | 6'7"" | 2-Way Stretch Four",70,69,69,66,63,75,72,90,80,80
12,"5
Aaron Wiggins
 SF / PF | 6'5"" | Iso Sniper",80,68,70,84,45,84,72,65,80,80
13,"0
Nikola Topic
 PG / SG | 6'6"" | Table Setter",70,81,86,79,59,76,69,75,85,80
14,"2
Thomas Sorber
 C / PF | 6'9"" | Slashing Point Center",50,72,66,59,72,66,74,90,85,80
15,"0
Brooks Barnhizer
 SF / SG | 6'5"" | Physical Middy Maestro",50,70,69,70,67,79,77,80,85,80
