,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"25
Anthony Edwards
 SG / SF | 6'4"" | 2-Way Inside-Out Creator",95,80,86,91,62,90,97,90,97,83
2,"15
LaMelo Ball
 PG / SG | 6'7"" | Playmaking 3PT Creator",85,93,88,84,50,84,79,89,93,82
3,"12
Rudy Gobert
 C | 7'1"" | Lob Threat Board Enforcer",75,58,35,48,87,65,57,95,90,81
4,"15
Jaden McDaniels
 SF / PF | 6'9"" | 2-Way Off-Screen Shooter",70,40,78,79,60,91,80,85,85,90
5,"11
Ayo Dosunmu
 SG / PG | 6'4"" | Crafty 3-Level Scorer",75,79,79,76,52,78,75,75,85,80
6,"14
Donte DiVincenzo
 PG / SG | 6'4"" | 2-Way Off-Screen Shooter",80,79,79,87,60,87,95,85,90,81
7,"4
Terrence Shannon Jr.
 SF / PF | 6'6"" | Inside-Out Slasher",70,68,79,89,58,87,83,75,90,80
8,"6
Bones Hyland
 PG / SG | 6'2"" | Iso Sniper",70,75,79,87,32,87,68,85,88,80
9,"4
Josh Green
 SF / SG | 6'6"" | 3PT Sniper",50,65,70,86,60,86,80,90,89,83
10,"4
Trey Lyles
 PF / C | 6'9"" | Stretch Four Cleaner",70,68,58,66,69,59,65,80,81,84
,,,,,,,,,,,
11,"5
Jaylen Clark
 SG / SF | 6'4"" | Clamp Thief",75,60,69,79,55,86,77,85,85,79
12,"7
Joe Ingles
 PF / SF | 6'8"" | 2-Way Stretch Four",60,75,70,66,64,80,60,70,92,80
13,"0
Julian Phillips
 SF / PF | 6'6"" | High-Flying 3PT Sniper",70,57,66,73,40,78,80,85,85,80
14,"4
Joan Beringer
 C | 6'11"" | Rim-Wrecking Putback Pro",60,47,47,56,65,67,80,90,85,80
15,"0
Enrique Freeman
 PF / C | 6'9"" | Bouncy Dual Finisher",35,60,62,74,60,74,81,95,88,80
16,"0
Rocco Zikarsky
 C | 7'3"" | Shot-Erasing Putback Pro",60,50,37,48,65,30,54,70,80,80
17,"0
Mouhamadou Gueye
 C / PF | 6'9"" | Putback Rim-Rocking Eraser",40,50,57,57,65,59,75,80,80,83
18,"0
Zyon Pullin
 PG / SG | 6'4"" | 3PT Shot Hunter",60,73,76,79,48,79,66,75,88,80
