,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"21
Stephen Curry
 PG / SG | 6'2"" | Crafty Offensive Engine",75,90,97,84,48,84,73,85,98,86
2,"25
Jimmy Butler
 SF / PF | 6'6"" | 2-Way Bullmaker",55,89,86,84,76,92,82,98,97,81
3,"15
Kristaps Porzingis
 C / PF | 7'2"" | Stretch Lob Threat",75,40,68,66,74,65,78,70,80,77
4,"11
Brandin Podziemski
 PG / SG | 6'4"" | Crafty 3PT Sniper",85,68,84,82,54,82,78,85,89,80
5,"8
Gui Santos
 SF / PF | 6'7"" | Crafty 3PT Sniper",85,69,69,73,50,72,74,75,80,86
6,"3
Moses Moody
 SF / SG | 6'5"" | Crafty 3PT-Sniping Creator",70,64,74,73,68,77,70,80,88,80
7,"8
Gary Payton II
 SF / PF | 6'2"" | 2-Way Blow-By Laymaker",60,67,70,81,48,83,85,80,85,83
8,"11
Al Horford
 C / PF | 6'8"" | Diming Pick & Popper",65,84,50,53,91,67,69,85,95,78
9,"8
De’Anthony Melton
 SG / PG | 6'2"" | 2-Way Tempo Pusher",80,74,79,76,44,81,75,85,80,83
10,"16
Draymond Green
 PF / C | 6'6"" | Defensive Playmaking Bully",30,84,78,73,85,84,66,90,85,88
,,,,,,,,,,,
11,"9
Quinten Post
 C | 7'0"" | Crafty Stretch Five",80,60,43,47,70,33,40,70,80,80
12,"5
Will Richard
 SG / SF | 6'3"" | Ball-Hawking Sharpshooter",75,67,67,78,56,78,74,90,80,80
13,"7
Seth Curry
 SG / PG | 6'1"" | Crafty 3-Level Scorer",70,75,78,78,41,78,68,80,89,80
14,"0
Nate Williams
 SF / SG | 6'5"" | Sharpshooting Crasher",75,66,71,68,52,68,70,65,95,83
15,"3
LJ Cryer
 PG | 6'1"" | Iso Sniper",70,77,79,84,32,82,70,78,80,83
16,"5
Charles Bassey
 C | 6'10"" | Glass Guardian",40,48,42,67,66,67,82,85,80,80
17,"0
Malevy Leons
 PF / C | 6'9"" | Disruptive Stretch Crasher",40,52,47,52,55,75,60,85,85,82
