,Player name,Shot IQ,Pass IQ,Ball Handling,Speed,Strength,Agility,Vertical,Hustle,Stamina,Offense Durability
1,"22
Anthony Davis
 PF / C | 6'10"" | Backline Post Bully",80,72,75,79,92,78,86,85,87,78
2,"16
Trae Young
 PG | 6'2"" | Crafty Offensive Engine",70,92,96,84,50,84,78,75,95,86
3,"9
Alex Sarr
 C / PF | 7'0"" | Shot-Erasing Versatile Slasher",80,66,73,73,67,72,77,85,80,80
4,"7
KyShawn George
 PF / SF | 6'8"" | Crafty 3-Level Scorer",95,66,74,64,60,74,72,85,90,80
5,"8
Will Riley
 PF / SF | 6'9"" | Blow-By Laymaking Four",95,68,70,82,45,65,67,85,85,80
6,"10
Deandre Ayton
 C | 7'0"" | Physical Mid-Range Lob Threat",60,70,61,75,85,65,82,50,75,81
7,"11
Bilal Coulibaly
 SF / SG | 6'7"" | High Flyer",75,72,72,82,63,85,85,80,92,80
8,"6
Justin Champagnie
 PF / SF | 6'6"" | Crafty 3-Level Scoring Crasher",85,62,69,73,40,73,78,85,80,80
9,"10
Bub Carrington
 PG / SG | 6'4"" | Iso Sniper",95,79,86,82,54,72,75,80,89,80
10,"4
Tre Johnson
 SG / PG | 6'5"" | Mid-Range Menace",65,67,86,77,54,82,86,80,86,80
,,,,,,,,,,,
11,"4
Tristan Vukcevic
 C / PF | 7'0"" | Crafty Stretch Five",80,55,51,57,72,55,65,80,89,80
12,"13
D’Angelo Russell
 PG / SG | 6'3"" | Crafty Mid-Range Menace",60,82,90,81,54,65,71,65,93,83
13,"4
Julian Reese
 C / PF | 6'9"" | Board-Hunting Crafty Finisher",65,48,62,68,76,64,75,95,80,81
14,"0
Jamir Watkins
 SF / PF | 6'6"" | Ball-Hawking Slasher",75,65,79,82,59,85,87,75,90,80
15,"8
Cam Whitmore
 SF / PF | 6'6"" | Athletic Blow-By Ace",65,69,86,84,68,84,84,80,85,80
16,"0
Sharife Cooper
 PG | 6'0"" | Mid-Range Menace",65,79,86,88,39,88,80,78,80,80
17,"0
Anthony Gill
 PF / C | 6'7"" | Crafty Paint-Mashing Popper",70,55,54,69,60,67,79,88,80,80
